book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,46,They thought that the bullets would silence us. But they failed.,Malala Yousafzai,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/046_they-thought-that-the-bullets-would-silence-us-but-they-failed.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,47,"Reducing excessive inequality is not just morally and politically correct, but it is good economics",Christine Lagarde,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/047_reducing-excessive-inequality-is-not-just-morally-and-politically-correct-but-it-is-good-economics.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,48,We never have and we never should walk by on the other side of the road,,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/048_we-never-have-and-we-never-should-walk-by-on-the-other-side-of-the-road.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,49,You voted for our tomorrow to be better than our yesterday,Hillary Clinton,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/049_you-voted-for-our-tomorrow-to-be-better-than-our-yesterday.md
50-speeches-that-made-the-modern-world,50 Speeches That Made the Modern World,50,"As we leave the European Union, we will forge a bold new positive role for ourselves in the world",Theresa May,,data/50 Speeches That Made the Modern World- Famous Speeches from -- Andrew Burnet -- 2016 -- John Murray Press -- 8a9187638b9002e32c40fc7e2ecddeef -- Anna’s Archive.md,50-speeches-that-made-the-modern-world/speeches/050_as-we-leave-the-european-union-we-will-forge-a-bold-new-positive-role-for-ourselves-in-the-world.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,1,The doctrine of the strenuous life,Theodore Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/001_the-doctrine-of-the-strenuous-life.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,2,Methods of barbarism,Sir Henry Campbell-Bannerman,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/002_methods-of-barbarism.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,3,Socialism,Keir Hardie,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/003_socialism.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,4,I believe in a British Empire and I do not believe in a Little England,Joseph Chamberlain,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/004_i-believe-in-a-british-empire-and-i-do-not-believe-in-a-little-england.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,5,I warn the Government,F. E. Smith (Lord Birkenhead),,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/005_i-warn-the-government.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,6,The men with the muck-rakes,Theodore Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/006_the-men-with-the-muck-rakes.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,7,The plight of women,Emmeline Pankhurst,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/007_the-plight-of-women.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,8,The People's Budget,"David Lloyd George London, 30 July 1909",,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/008_the-people-s-budget.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,9,We are in for rough weather,David Lloyd George,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/009_we-are-in-for-rough-weather.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,10,The new nationalism,Theodore Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/010_the-new-nationalism.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,11,Freedom or death,Emmeline Pankhurst,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/011_freedom-or-death.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,12,Ulster is asking to be let alone,Edward Carson,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/012_ulster-is-asking-to-be-let-alone.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,13,The great pinnacle of sacrifice,David Lloyd George,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/013_the-great-pinnacle-of-sacrifice.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,14,Ireland unfree shall never be at peace,Patrick Pearse,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/014_ireland-unfree-shall-never-be-at-peace.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,15,There is no salvation for India,Mahatma Gandhi,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/015_there-is-no-salvation-for-india.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,16,Ireland summons her children to the flag,Proclamation of the Irish Republic,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/016_ireland-summons-her-children-to-the-flag.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,17,"In Ireland alone, in this twentieth century, is loyalty held to be a crime",Roger Casement,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/017_in-ireland-alone-in-this-twentieth-century-is-loyalty-held-to-be-a-crime.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,18,The world must be made safe for democracy,Woodrow Wilson,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/018_the-world-must-be-made-safe-for-democracy.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,19,A new phase in the history of Russia begins,V. I. Lenin,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/019_a-new-phase-in-the-history-of-russia-begins.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,20,The dustbin of history,Leon Trotsky,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/020_the-dustbin-of-history.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,21,We need an army,Leon Trotsky,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/021_we-need-an-army.md
