book_slug,book_title,speech_index,speech_title,speaker,section,source_file,output_file
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,42,England again dares to be great,Oswald Mosley,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/042_england-again-dares-to-be-great.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,43,They shall not pass,La Pasionaria (Dolores Ibárruri),,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/043_they-shall-not-pass.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,44,The forces of selfishness and of lust for power met their match,Franklin Delano Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/044_the-forces-of-selfishness-and-of-lust-for-power-met-their-match.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,45,The locust years,Winston Churchill,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/045_the-locust-years.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,46,I shall always trust the instincts of our democratic people,Stanley Baldwin,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/046_i-shall-always-trust-the-instincts-of-our-democratic-people.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,47,The Jews carry Palestine in their hearts,Chaim Weizmann,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/047_the-jews-carry-palestine-in-their-hearts.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,48,I have determined to renounce the Throne,Edward VIII,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/048_i-have-determined-to-renounce-the-throne.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,49,The House today is a theatre which is being watched by the whole world,Stanley Baldwin,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/049_the-house-today-is-a-theatre-which-is-being-watched-by-the-whole-world.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,50,God Save the King,Edward VIII,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/050_god-save-the-king.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,51,I stake my life,Leon Trotsky,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/051_i-stake-my-life.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,52,The oppression is growing,Martin Niemöller,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/052_the-oppression-is-growing.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,53,My patience is now at an end,"Adolf Hitler Berlin, 26 September 1938",,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/053_my-patience-is-now-at-an-end.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,54,Peace for our time,Neville Chamberlain,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/054_peace-for-our-time.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,55,My head erect,Duff Cooper,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/055_my-head-erect.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,56,A total and unmitigated defeat,Winston Churchill,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/056_a-total-and-unmitigated-defeat.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,57,Is this an attempt to dominate the world by force?,Neville Chamberlain,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/057_is-this-an-attempt-to-dominate-the-world-by-force.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,58,This country is at war with Germany,Neville Chamberlain,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/058_this-country-is-at-war-with-germany.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,59,"In the name of God, go",Leo Amery,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/059_in-the-name-of-god-go.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,60,Sacrifice the seals of office,David Lloyd George,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/060_sacrifice-the-seals-of-office.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,61,"I have nothing to offer but blood, toil, tears and sweat",Winston Churchill,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/061_i-have-nothing-to-offer-but-blood-toil-tears-and-sweat.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,62,Be ye men of valour,Winston Churchill,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/062_be-ye-men-of-valour.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,63,This was their finest hour,Winston Churchill,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/063_this-was-their-finest-hour.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,64,The flame of French resistance,Charles de Gaulle,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/064_the-flame-of-french-resistance.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,65,This little steamer,J. B. Priestley,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/065_this-little-steamer.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,66,The arsenal of democracy,Franklin Delano Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/066_the-arsenal-of-democracy.md
the-penguin-book-of-modern-speeches,The Penguin Book of Modern Speeches,67,The four freedoms,Franklin Delano Roosevelt,,"data/The Penguin Book of Modern Speeches -- MacArthur, Brian; MacArthur, Brian -- Third revised edition, London, 2012 -- Penguin Books, Limited -- 9780141909165 -- 8ed199d54888113549a334d4090d283a -- Anna’s Archive.md",the-penguin-book-of-modern-speeches/speeches/067_the-four-freedoms.md
